elapsed_min_from_t0,elapsed_min_from_burn_start,absolute_time_utc,absolute_time_bjt,theta_s_deg
1314.000000,59.333000,2026-05-16T07:09:34Z,2026-05-16T15:09:34.412+08:00,47.770813600
1315.000000,60.333000,2026-05-16T07:10:34Z,2026-05-16T15:10:34.412+08:00,47.679178692
1316.000000,61.333000,2026-05-16T07:11:34Z,2026-05-16T15:11:34.412+08:00,47.587101947
1317.000000,62.333000,2026-05-16T07:12:34Z,2026-05-16T15:12:34.412+08:00,47.494580656
1318.000000,63.333000,2026-05-16T07:13:34Z,2026-05-16T15:13:34.412+08:00,47.401612088
1319.000000,64.333000,2026-05-16T07:14:34Z,2026-05-16T15:14:34.412+08:00,47.308193491
1320.000000,65.333000,2026-05-16T07:15:34Z,2026-05-16T15:15:34.412+08:00,47.214322246
1321.000000,66.333000,2026-05-16T07:16:34Z,2026-05-16T15:16:34.412+08:00,47.119995244
1322.000000,67.333000,2026-05-16T07:17:34Z,2026-05-16T15:17:34.412+08:00,47.025209665
1323.000000,68.333000,2026-05-16T07:18:34Z,2026-05-16T15:18:34.412+08:00,46.929962982
1324.000000,69.333000,2026-05-16T07:19:34Z,2026-05-16T15:19:34.412+08:00,46.834252174
1325.000000,70.333000,2026-05-16T07:20:34Z,2026-05-16T15:20:34.412+08:00,46.738074355
1326.000000,71.333000,2026-05-16T07:21:34Z,2026-05-16T15:21:34.412+08:00,46.641426614
1326.865000,72.198000,2026-05-16T07:22:26Z,2026-05-16T15:22:26.312+08:00,46.557445171
