elapsed_time_s,elapsed_time_min,phase,is_event_point,semi_major_axis_m,eccentricity,inclination_deg,raan_deg,argument_of_perigee_deg,true_anomaly_deg,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,thrust_alpha_deg,thrust_beta_deg,thrust_longitude_deg,thrust_latitude_deg,subsatellite_longitude_deg,subsatellite_latitude_deg,subsatellite_altitude_m,orbit_height_m,mass_kg
0.0,0.0,coast,1,29478137.000000015,0.7768469199999998,16.49999999999998,77.81614066594024,199.99999999999997,22.902546345799923,3293524.41662162,-5816687.374913236,-1317245.9148266523,9170.969929742118,3674.2451091541743,-2425.67750037191,nan,nan,nan,nan,-129.7643660807637,-11.148025326991906,434813.30808865826,434813.30808865733,6515.0
72819.15889812574,1213.6526483020957,orbit_control,1,31241315.81416905,0.6699518962910576,11.833030532916018,68.71743319110166,208.90596687418284,183.67706995916967,-9626665.862839287,50731346.25410229,5737290.208633536,-1498.7764951525116,-524.6888492105802,252.69679855154942,nan,nan,nan,nan,87.21691944245276,6.3400670103136445,45576253.45284291,45576253.45284291,5883.912348664243
238045.28785534578,3967.421464255763,orbit_control,1,33513023.610598713,0.5569597816681356,9.19853552212169,58.60598398216396,218.96204650601422,183.4409283457261,-9556225.35852417,50867218.964346334,5611979.460643623,-1769.5031936537755,-496.85647931997005,202.68771046335726,nan,nan,nan,nan,116.78516996772453,6.18835980633604,45682305.96523361,45682305.96523361,5382.822632701214
420667.69824122096,7011.12830402035,orbit_control,1,38548878.55667623,0.3541397786245537,6.9844732678032475,41.062175582921654,236.07069242803266,185.63062676965893,-11278638.157147564,50519883.08084836,5574247.494101449,-2140.5826801931626,-613.7619413805686,115.56640016525706,nan,nan,nan,nan,75.72018675661997,6.146308495922475,45684695.234790586,45684695.23479059,4717.417181559848
622727.35978718,10378.789329786332,orbit_control,1,42164199.993985675,0.0004561208456589114,6.001994864925317,20.948278572040284,175.70560670465593,80.94409157873069,5494210.675937284,-41580990.206999026,-4289368.589481259,3046.672219190893,408.8338362227998,-74.38092342642283,nan,nan,nan,nan,126.44189687918771,-5.839228327678935,35783027.3629841,35783027.3629841,3914.01561610847
