elapsed_time_s,elapsed_time_min,phase,is_event_point,semi_major_axis_m,eccentricity,inclination_deg,raan_deg,argument_of_perigee_deg,true_anomaly_deg,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,subsatellite_longitude_deg,subsatellite_latitude_deg,subsatellite_altitude_m,orbit_height_m,mass_kg
720.0,12.0,coast,0,29408177.508212715,0.7762556807430584,16.493600342526797,8.48039829826472,200.08503513588798,69.56254571337429,1244261.5879729523,-8728597.481595347,-2610540.9873753916,7922.826637687051,-2981.0232769492195,-1218.9567158375628,-84.89535520215703,-16.566007218217695,2818778.672672159,2817050.3265666272,5200.0
780.0,13.0,coast,0,29405247.110356737,0.7762301286540596,16.49361577893863,8.477260263372381,200.08871272798547,72.26175054489792,1718373.3106422229,-8899566.661670893,-2681308.564139497,7879.166291178746,-2720.6973812453057,-1140.693896283545,-82.3304233643523,-16.550032761867513,3075807.75559346,3074082.4485239107,5200.0
840.0,14.0,coast,0,29402621.512349367,0.7762071288632596,16.49366755219523,8.47438051404111,200.09202616227117,74.81708714229093,2189573.454580897,-9055403.322555453,-2747510.6410049493,7826.091890775539,-2476.4762372051105,-1066.7490784950419,-79.91650880979154,-16.50005222032512,3336627.2144741844,3334911.836039437,5200.0
900.0,15.0,coast,0,29400264.594484143,0.7761863893944687,16.493747725160823,8.471744567199845,200.09500966496088,77.23805996845424,2657351.593202839,-9197049.633759942,-2809401.5769344317,7765.371643532842,-2247.5447227129644,-996.9595995608565,-77.64439574104277,-16.421549609173287,3600532.038172627,3598832.320109103,5200.0
960.0,16.0,coast,0,29398144.34593335,0.7761676503448734,16.49384962162706,8.469336214196526,200.09769520033302,79.53372841078901,3121295.4744867454,-9325397.23014053,-2867225.1497883536,7698.514921654841,-2033.0397740290864,-931.1374926231937,-75.50508522034836,-16.319285172414308,3866903.007762165,3865223.6564627998,5200.0
1020.0,17.0,coast,0,29396232.642385904,0.7761506823667771,16.493967700079498,8.467138529576715,200.10011232584853,81.71264911469714,3581076.4064603774,-9441285.362266716,-2921213.379626518,7626.8027034592,-1832.0828990867199,-869.0803633878164,-73.48991323115125,-16.197364790217243,4135197.490916106,4133542.316830542,5200.0
1080.0,18.0,coast,0,29394504.905069575,0.776135284136698,16.494097413229177,8.465134585695603,200.1022881511377,83.78284812483935,4036436.440491432,-9545500.71127819,-2971585.919134239,7551.31684092102,-1643.8035116996814,-810.579515661779,-71.59062737487558,-16.059311903502618,4404940.824101183,4403312.863224719,5200.0
1140.0,19.0,coast,0,29392939.71658347,0.7761212794328185,16.494235067847995,8.463307937778584,200.10424737469182,85.75181444347429,4487177.249280416,-9638778.3798813,-3018549.8630715483,7472.967166170266,-1467.35511182108,-755.4258794308753,-69.79943184467596,-15.908137623166384,4675718.3973608175,4674120.022220623,5200.0
1200.0,20.0,coast,0,29391518.43718974,0.7761085141814265,16.494377693321223,8.46164293522986,200.10601237576054,87.62650850532269,4933150.553460789,-9721803.682640659,-3062299.859608019,7392.515957592157,-1301.9260025477852,-703.4142183476288,-68.10900869359962,-15.746406446218533,4947168.485286698,4945601.504338186,5200.0
1260.0,21.0,coast,0,29390224.844854537,0.7760968536663971,16.49452292318827,8.460124904953014,200.10760334290438,89.41338063878044,5374249.9326661425,-9795214.450364305,-3103018.432593603,7310.599618466628,-1146.7459125238765,-654.3460129715344,-66.51252185985382,-15.576296225123397,5218975.820959132,5217441.566286504,5200.0
1320.0,22.0,coast,0,29389044.80980222,0.7760861799933273,16.494668891277975,8.45874024285623,200.1090384244973,91.11839584551592,5810403.85479771,-9859603.636699293,-3140876.4452937576,7227.747626794928,-1001.0896060217391,-608.0313406529608,-65.00360902969466,-15.399651855896835,5490865.880497193,5489365.284315787,5200.0
1380.0,23.0,coast,0,29387966.006976828,0.7760763898396162,16.494814142424215,8.457476441331357,200.1103338899586,92.74706222006957,6241569.76464285,-9915522.072495807,-3176033.65333226,7144.398932998044,-864.2783206479298,-564.2900067114193,-63.57636524758044,-15.21803267371487,5762599.829166309,5761133.48996448,5200.0
1440.0,24.0,coast,0,29386977.665710866,0.7760673924881768,16.494957556836628,8.456322073561777,200.11150429347762,94.3044610918074,6667729.0856135525,-9963481.25773494,-3208639.308138486,7060.916041614828,-735.6796743868975,-522.9521257875741,-62.22532122475471,-15.03275385896098,6033970.071799073,6032538.3111199755,5200.0
